"lipid","log2FC","minus_log10_pvalue"
"LPE(17:0)",-0.2363568201683,0.166852888087215
"LPE(O-18:0)",-0.877350028299425,0.721246399047171
"ST(27:0)",-0.115971616176374,0.0496351456238769
"NATau(24:1)",0.194321016048185,0.0920514783877277
"LPE(18:3)",-1.25314011388091,1.17457388223218
"LPE(18:2)",-1.09957846766723,0.681936665037238
"ST(28:2)",-0.307331067310134,0.114638779968488
"FA(32:1)",-2.84795102879302,1.37059040089728
"LPE(18:1)",-0.34838288847979,0.272458742971444
"ST(28:1)",-0.245384539385061,0.114638779968488
"FA(32:0)",-2.30428556641724,1.92445303860747
"LPE(18:0)",-0.0987785225789004,0.0619809025237897
"LPE(18:1(d7))",0.327142889888588,0.251037138743839
"FA(34:9)",1.2079648861445,0.663540266151471
"ST(29:2)",-0.459707199743196,0.258060922270801
"ST(29:2)",-0.194792604314582,0.0798766737092761
"FA(33:1)",-3.05319150152123,1.28650945690606
"LPE(O-20:1)",0.416246928905462,0.266802734893431
"ST(29:1)",-0.576428168723414,0.298432014944073
"FA(33:0)",-1.94093525919151,1.18045606445813
"LPE(19:0)",-0.312635227044225,0.201349354554731
"LPE(O-20:0)",-0.826731014314195,0.636388020107856
"LPE(20:5)",-0.0667504994856785,0.0619809025237897
"LPE(20:4)",-0.746281659333224,0.801342913045577
"FA(34:3)",0.344830379315109,0.573488738635425
"LPE(20:3)",-0.823496537772321,0.72584215073632
"LPE(20:2)",-0.361104354000144,0.1791420105603
"FA(34:1)",-2.815196360873,1.14146280243036
"LPE(20:1)",-0.428308166096361,0.271646217978772
"LPG(18:2)",-0.248384518254426,0.157390760389438
"FA(34:0)",-1.8900195191992,1.41005039867429
"LPE(20:0)",-0.537045611668216,0.302770657240282
"LPG(18:1)",-0.198569559673153,0.0942041196321315
"FA(35:1)",-2.17868110438178,0.847711655616944
"LPE(O-22:1)",0.387527194163436,0.198596289982645
"LPE(O-22:0)",-0.28187912899816,0.172630726946175
"LPE(22:6)",-0.654244433541756,0.619788758288394
"LPS(18:0)",3.02939991349696,1.87614835903291
"LPE(22:5)",-1.1454141590943,1.20901152491118
"LPC(14:0)",-0.163312048665379,0.112945621949043
"LPE(22:4)",-0.180830920357405,0.137272471682025
"FA(14:1)",2.28324439130573,1.82102305270683
"FA(36:1)",-1.67156225680575,0.703334809738469
"Cer(34:1)",0.80485112059775,0.338187314462739
"LPC(15:0)",-0.460967677336093,0.416801226031377
"LPC(O-16:0)",0.103041157941064,0.0710923097560473
"LPS(20:4)",0.413069990698659,0.235823867609669
"FA(37:1)",-2.07285323695939,0.603800652904264
"FA(14:0)",0.41742514066334,0.321481620959886
"LPC(16:2)",0.382743358546904,0.325138859262188
"LPC(16:1)",0.147706757269336,0.135488918941608
"LPC(16:0)",-0.386238787192799,0.391473966422806
"Cer(34:0)",-0.168645432534461,0.0639892042847904
"SL(31:0)",-0.181503430731194,0.0680338852718274
"SL(31:0)",-0.550734445939412,0.236572006437063
"FA(38:1)",-1.2206824640699,0.595166283380062
"LPC(17:1)",-0.471116544480392,0.367542707815276
"LPC(O-18:1)",-0.153082040932716,0.120330794367946
"LPC(17:0)",-0.833508454863409,0.595166283380062
"LPC(O-18:0)",-0.152777121825803,0.115204636051019
"Cer(32:1)",1.11109081555513,0.496209316942819
"LPI(16:0)",0.756941407121936,0.688246138944246
"SL(32:0)",-0.361699285138016,0.173925197299174
"SL(32:0)",-0.208149959891983,0.0979971086492706
"LPC(18:3)",-1.2945330361999,1.44490555142168
"LPC(18:2)",-1.35720014012335,1.0762380391713
"LPC(18:1)",-0.878238682522525,0.809668301829709
"LPC(18:0)",-0.605157088432165,0.543633966870957
"Cer(33:1)",0.42057016181208,0.145693958198919
"SL(32:1)",-0.419807350041417,0.190440285364732
"SL(32:1)",-0.0669200245326067,0.0231916626619338
"SL(33:0)",-0.484388307361975,0.223298816011589
"SL(32:0)",0.0378728711804364,0.0154726866562074
"SL(32:0)",0.00616353923413371,0.00217691925427455
"Cer(38:1)",1.48564213548511,0.416801226031377
"LPC(19:1)",-0.781904662599871,0.578396073130169
"Cer(34:2)",1.97673463820417,1.41793663708829
"LPI(18:2)",-1.22243214747359,1.1605219526258
"LPC(19:0)",-1.10783484755218,0.79317412396815
"LPC(O-20:0)",-0.895427479294668,0.625251653989896
"Cer(34:1)",0.757091720404091,0.31695296176115
"Cer(34:0)",-0.769554302162305,0.266802734893431
"LPI(18:0)",1.24327178585803,1.03058408764602
"LPC(20:5)",-1.80800246186666,1.46980030179692
"LPC(20:4)",-1.76757338700491,1.99139982823808
"SL(33:1)",-0.400591746086022,0.20690839982342
"SL(34:0)",-0.479623978123811,0.20551195334083
"SL(34:0)",-0.477759931307155,0.202732459169284
"LPC(20:3)",-2.86098151344552,2.51712641639125
"SL(33:0)",-0.137720859257019,0.0570004066339595
"LPC(20:2)",-1.59091905329206,1.14752000636314
"LPC(20:1)",-0.744534150576381,0.494850021680094
