"lipid_name","log_2_foldchange","neg_log10_p_value","lipid_class"
"PC(O-36:5)",-0.614863347015135,0.407823242604133,"non-sig"
"PC(O-38:0)",-1.63818678403006,1.07675598136972,"non-sig"
"PC(O-38:1)",-2.00082921376421,1.41228903498109,"PC"
"PC(O-38:2)",-1.47048612199038,1.32882715728492,"PC"
"PC(O-38:3)",-1.09486389913057,0.935542010773082,"non-sig"
"PC(O-38:5)",-0.236055593205084,0.224025668870631,"non-sig"
"PC(O-38:6)",-0.464002283825813,0.362510270487489,"non-sig"
"PC(O-38:7)",-0.562048207675023,0.730487055782084,"non-sig"
"PC(O-40:1)",-1.68514803631968,1.43062609038495,"PC"
"PC(O-40:2)",-1.3346622900048,1.28735029837279,"non-sig"
"PC(O-40:3)",-1.32145053186719,0.856985199745905,"non-sig"
"PC(O-40:4)",-1.40510748410217,1.12901118623942,"non-sig"
"PC(O-40:5)",-1.01801944306697,0.892790030352132,"non-sig"
"PC(O-40:6)",-1.14353551873572,0.950781977329818,"non-sig"
"PC(O-40:8)",-0.44086152739775,0.565431095965801,"non-sig"
"PC(O-41:3)",-1.64974711291311,1.20760831050175,"non-sig"
"PC(O-41:4)",-1.28865827287997,1.14935376481693,"non-sig"
"PC(O-42:1)",-1.42842427248137,1.32513885926219,"PC"
"PC(O-42:2)",-1.10981295994903,1.07468790850035,"non-sig"
"PC(O-42:3)",-1.07267873218863,0.939302159646388,"non-sig"
"PC(O-42:4)",-1.36426409674208,1.18508681872493,"non-sig"
"PC(O-42:5)",-1.05646296236117,0.928117992693875,"non-sig"
"PC(O-42:6)",-1.36609445404562,0.913640169325252,"non-sig"
"PC(O-42:7)",-1.0727529213414,1.11975822410452,"non-sig"
"PC(O-43:5)",-1.31693019752849,0.97061622231479,"non-sig"
"PC(O-44:4)",-1.38425388305248,1.22257317761069,"non-sig"
"PC(O-44:5)",-1.20200044544598,0.928117992693875,"non-sig"
"PC(O-44:6)",-0.492085735130583,0.443697499232713,"non-sig"
"PC(O-44:7)",-1.10654405215674,1.08724669632868,"non-sig"
"PC(O-44:8)",-0.846960273169397,0.954677021213343,"non-sig"
"PE-CER(42:1;O2)",-1.40802185653171,0.690369832574101,"non-sig"
"PE-CER(42:2;O2)",-1.44103829193908,1.05012229596313,"non-sig"
"PE(32:0)",-0.581650943087755,0.417936637088291,"non-sig"
"PE(32:1)",-1.14242419014698,1.65560772631489,"PE"
"PE(34:0)",-1.26268397805866,1.30627305107635,"PE"
"PE(34:1)",-0.947394573267328,1.80134291304558,"PE"
"PE(34:2)",-0.559323275548614,0.407823242604133,"non-sig"
"PE(34:3)",-1.33505323410697,1.12784372725171,"non-sig"
"PE(35:2)",-0.971785841432713,0.928117992693875,"non-sig"
"PE(36:1)",-1.27962996893321,1.36451625318509,"PE"
"PE(36:2)",-0.892092429138181,0.892790030352132,"non-sig"
"PE(36:3)",-0.152062651453619,0.306273051076353,"non-sig"
"PE(36:4)",-0.755078032420364,0.560667306169737,"non-sig"
"PE(37:2)",-0.466300660200048,0.19586056766465,"non-sig"
"PE(37:4)",-0.975612235555818,0.703334809738469,"non-sig"
"PE(37:6)",-1.36401042448654,0.790484985457369,"non-sig"
"PE(38:1)",-0.791562305485296,0.730487055782084,"non-sig"
"PE(38:3)",-0.590247272988091,0.785156151952302,"non-sig"
"PE(38:4)",-0.543232832686876,0.424812155072339,"non-sig"
"PE(38:5)",0.603808756653969,0.744727494896694,"non-sig"
"PE(38:6)",-1.56298975761527,1.02319166266193,"non-sig"
"PE(38:7)",-0.626772162216383,0.605548319173784,"non-sig"
"PE(39:4)",-0.0896466674856633,0.0716041477432862,"non-sig"
"PE(39:6)",-0.75970466026229,0.560667306169737,"non-sig"
"PE(40:4)",-0.36973150578395,0.39577394691553,"non-sig"
"PE(40:5)",-0.578743363979083,0.533132379645891,"non-sig"
"PE(40:6)",-1.51853786645394,1.06499684854635,"non-sig"
"PE(40:7)",-0.80995701072333,0.764471553092451,"non-sig"
"PE(40:8)",1.05752277313496,1.98296666070122,"PE"
"PE(42:10)",1.07885165737523,1.04191415147891,"non-sig"
"PE(42:7)",-0.651676514296909,0.54821356447571,"non-sig"
"PE(O-34:0)",-2.43475291403104,1.53165266958784,"PE"
"PE(O-34:1)",-1.93335834233934,1.9100948885606,"PE"
"PE(O-34:2)",-0.734622701360149,0.906578314837765,"non-sig"
"PE(O-34:3)",-1.64189876504636,1.44249279809434,"PE"
"PE(O-34:4)",-1.4541550601348,0.764471553092451,"non-sig"
"PE(O-34:5)",-2.03031907988212,1.30715308072277,"PE"
"PE(O-35:5)",-1.42642844401715,0.790484985457369,"non-sig"
"PE(O-36:0)",-2.67964023397021,1.3829996588791,"PE"
"PE(O-36:1)",-2.23156480632214,1.78781239559604,"PE"
"PE(O-36:2)",-1.68235035118461,1.44490555142168,"PE"
"PE(O-36:3)",-1.97231140510452,1.27083521030723,"non-sig"
"PE(O-36:5)",-1.38429911319534,1.29756946355447,"non-sig"
"PE(O-36:6)",-1.83147611550789,1.72353819582676,"PE"
"PE(O-36:7)",-2.25098830885999,1.36653154442041,"PE"
"PE(O-37:2)",-1.33553686206572,1.1266793981846,"non-sig"
"PE(O-37:5)",-1.52760865323782,1.13253251214095,"non-sig"
"PE(O-37:6)",-0.969789191454389,0.542118103266008,"non-sig"
"PE(O-37:7)",-1.99734068334566,1.12784372725171,"non-sig"
"PE(O-38:1)",-2.16748744423965,1.73518217699046,"PE"
"PE(O-38:2)",-1.62955284308688,1.3829996588791,"PE"
"PE(O-38:3)",-1.91803176348252,1.19791074211827,"non-sig"
"PE(O-38:4)",-1.78957291873932,1.59006687666871,"PE"
