"lipid","T_stat_human","T_stat_mouse"
"PE(O-42:7)",-4.07949857696627,-0.529344947048376
"PE(O-42:8)",-1.74752000257265,-0.782147237888128
"PE(O-44:4)",-4.29773798513185,-0.917125311915252
"PE(O-44:5)",-7.06932639486075,-1.19995370799982
"PE(O-44:6)",-3.63162388549272,-0.967622216688817
"PE(O-44:7)",-3.18768656164775,-0.880119571593489
"PE(O-44:8)",1.33714418404079,-0.650573484477101
"PE(O-46:7)",-3.21602413809471,-0.868543119884487
"PE(O-46:8)",0.341153638874371,-0.333072756096545
"PI(32:0)",-6.19007668927474,-4.83348274316826
"PI(32:1)",-4.1321135159369,-0.312429396862347
"PI(33:1)",-5.07655017703174,0.956006574212127
"PI(34:0)",-6.82948331637095,-2.75203813730662
"PI(34:1)",-5.23371367902152,-1.77650081322664
"PI(34:2)",-4.96921585578365,-2.53622921519267
"PI(34:3)",-3.67652638666577,-0.664002635378214
"PI(35:2)",-5.55192233961648,-4.57620109393434
